,date,classification,profit_flag
179,2025-08-01 00:00:00+00:00,Extreme Fear,95.45454545454545
180,2025-08-01 00:00:00+00:00,Extreme Greed,0.0
181,2025-08-01 00:00:00+00:00,Fear,100.0
182,2025-08-01 00:00:00+00:00,Greed,23.93617021276596
183,2025-08-01 00:00:00+00:00,Neutral,35.370611183355
184,2025-08-02 00:00:00+00:00,Extreme Greed,0.0
185,2025-08-02 00:00:00+00:00,Greed,19.298245614035086
186,2025-08-03 00:00:00+00:00,Extreme Greed,100.0
187,2025-08-03 00:00:00+00:00,Fear,55.98455598455598
188,2025-08-04 00:00:00+00:00,Extreme Fear,10.81081081081081
189,2025-08-04 00:00:00+00:00,Fear,42.95874822190612
190,2025-08-04 00:00:00+00:00,Greed,78.78787878787878
191,2025-08-04 00:00:00+00:00,Neutral,61.53846153846154
192,2025-09-01 00:00:00+00:00,Greed,58.333333333333336
193,2025-09-01 00:00:00+00:00,Neutral,20.89201877934272
194,2025-09-02 00:00:00+00:00,Fear,0.0
195,2025-09-02 00:00:00+00:00,Greed,43.23258869908016
196,2025-09-03 00:00:00+00:00,Fear,44.09282700421941
197,2025-09-04 00:00:00+00:00,Extreme Fear,68.0327868852459
198,2025-09-04 00:00:00+00:00,Extreme Greed,0.0
199,2025-09-04 00:00:00+00:00,Fear,44.423529411764704
200,2025-09-04 00:00:00+00:00,Greed,36.342042755344416
201,2025-09-04 00:00:00+00:00,Neutral,46.93366708385482
202,2025-10-01 00:00:00+00:00,Extreme Greed,90.57971014492753
203,2025-10-01 00:00:00+00:00,Greed,100.0
204,2025-10-01 00:00:00+00:00,Neutral,42.813455657492355
205,2025-10-02 00:00:00+00:00,Fear,4.166666666666666
206,2025-10-02 00:00:00+00:00,Greed,50.29726516052319
207,2025-10-03 00:00:00+00:00,Fear,40.10398613518198
208,2025-10-03 00:00:00+00:00,Greed,0.0
209,2025-10-04 00:00:00+00:00,Extreme Fear,72.40356083086054
210,2025-10-04 00:00:00+00:00,Extreme Greed,100.0
211,2025-10-04 00:00:00+00:00,Fear,48.91385767790262
212,2025-10-04 00:00:00+00:00,Greed,55.75221238938053
213,2025-10-04 00:00:00+00:00,Neutral,26.666666666666668
214,2025-11-01 00:00:00+00:00,Extreme Greed,4.081632653061225
215,2025-11-01 00:00:00+00:00,Neutral,28.63247863247863
216,2025-11-02 00:00:00+00:00,Greed,21.816037735849054
217,2025-11-03 00:00:00+00:00,Extreme Greed,4.918032786885246
218,2025-11-03 00:00:00+00:00,Fear,19.495635305528612
219,2025-11-03 00:00:00+00:00,Greed,7.575757575757576
220,2025-11-04 00:00:00+00:00,Extreme Fear,35.04273504273504
221,2025-11-04 00:00:00+00:00,Fear,27.403156384505024
222,2025-11-04 00:00:00+00:00,Greed,0.0
223,2025-11-04 00:00:00+00:00,Neutral,48.74551971326165
224,2025-12-01 00:00:00+00:00,Extreme Greed,0.0
225,2025-12-01 00:00:00+00:00,Greed,100.0
226,2025-12-01 00:00:00+00:00,Neutral,40.10152284263959
227,2025-12-02 00:00:00+00:00,Extreme Greed,41.66666666666667
228,2025-12-02 00:00:00+00:00,Greed,46.80390032502709
229,2025-12-03 00:00:00+00:00,Fear,56.451612903225815
230,2025-12-04 00:00:00+00:00,Extreme Fear,15.41501976284585
231,2025-12-04 00:00:00+00:00,Fear,35.625
232,2025-12-04 00:00:00+00:00,Greed,97.61904761904762
233,2025-12-04 00:00:00+00:00,Neutral,57.49999999999999
